burn,1Stage,2Stage,3Stage,4Stage,5Stage,6Stage,E1Stage,E2Stage,E3Stage,E4Stage,E5Stage,E6Stage,C1Stage,C2Stage,C3Stage,C4Stage,C5Stage,C6Stage,S1Stage,S2Stage,S3Stage,S4Stage,S5Stage,S6Stage,O1Stage,O2Stage,O3Stage,O4Stage,O5Stage,O6Stage
3000,1.7987502094153124e6,2.0127490667148363e6,2.22675065521664e6,2.440751810552937e6,2.6547488786691646e6,2.8687459371614303e6,54.92997802677564,117.87883939780295,171.9890931523405,234.0570251136087,291.70286812260747,351.54134254157543,17907,16608,17933,17398,17613,17537,1.,1.1189708588659926,1.2379432361208451,1.3569153725609897,1.475885236745627,1.594855095579904,0.,11.897085886599266,23.794323612084522,35.691537256098975,47.58852367456271,59.48550955799039
4500,2.5487497838990376e6,2.7627491134751774e6,2.9755353055017972e6,3.1907509086713204e6,3.4047488496709187e6,3.61875e6,55.800087911076844,114.88726202491671,865.9977226830088,234.49556742282584,295.45133539289236,344.2462501185946,17353,17484,18085,17333,17169,18288,1.,1.083962470905546,1.167448968234877,1.2518886431410146,1.335850569239632,1.419813754516182,0.,8.396247090554608,16.7448968234877,25.188864314101462,33.58505692396321,41.98137545161819
6000,3.2987502218016204e6,3.51275e6,3.72675e6,3.94075e6,4.15475e6,4.36875e6,56.5314362696372,113.35429728403687,173.66806508833542,243.16004414623603,285.6592872105539,356.4021168462932,16907,17960,17588,16120,18366,17062,1.,1.06487298637649,1.1297460399910566,1.1946190936056231,1.2594921472201899,1.3243652008347564,0.,6.4872986376489905,12.974603999105652,19.461909360562313,25.949214722018972,32.436520083475635
7500,4.0487501986965504e6,4.26275e6,4.47675e6,4.69075188149564e6,4.90475e6,5.11875e6,53.50547806080431,115.87923363037407,177.2419656002894,238.5994005277753,288.8063013572246,344.755711494945,18873,17186,16886,16742,17968,18234,0.9999999999999999,1.0528557680274628,1.1057115851309471,1.1585678669446622,1.2114232193379153,1.2642790364413996,0.,5.285576802746299,10.571158513094714,15.85678669446622,21.142321933791543,26.42790364413996
9000,4.79875e6,5.012749572932165e6,5.22675e6,5.44075e6,5.654748933988233e6,5.868748781863877e6,54.45004810299724,112.7686311127618,169.72750611416996,231.9726523309946,284.4151558615267,333.4002409139648,18224,18147,18414,17712,18527,19497,1.,1.0445948576050357,1.0891898932013544,1.1337848398020318,1.1783795642590744,1.2229744791589219,0.,4.459485760503571,8.918989320135452,13.378483980203177,17.837956425907436,22.297447915892192
10500,5.54875e6,5.762750409122103e6,5.97675e6,6.19075e6,6.404747927379578e6,6.61875e6,52.60302995610982,110.37345270905644,168.61384322773665,223.55905056931078,280.42421043105423,347.08625536970794,19526,18943,18658,19070,19058,17990,1.,1.0385673186072724,1.0771344897499437,1.1157017346249154,1.1542686059706382,1.1928362243748591,0.,3.856731860727243,7.7134489749943675,11.570173462491553,15.426860597063813,19.28362243748592
12000,6.298750195812229e6,6.512750410596026e6,6.726750654924475e6,6.940749122513789e6,7.15475e6,7.36875e6,53.11564005352557,110.57212833873928,171.95073607563972,230.4357764488086,295.2707771472633,349.58294900879264,19151,18875,17941,17949,17190,17734,1.,1.0339750280819324,1.0679500608544223,1.1019248115488685,1.1358999448425322,1.1698749388250336,0.,3.39750280819323,6.7950060854422345,10.192481154886845,13.589994484253223,16.98749388250336
13500,7.048750208090561e6,7.26275e6,7.47675e6,7.690749102512964e6,7.904747748261316e6,8.11875e6,54.75592706352472,113.25972543656826,178.62274127546698,233.0476842680946,292.29270880296826,353.61463043279946,18021,17990,16626,17549,17542,17332,1.,1.0303599624886424,1.0607199544989097,1.0910798191834796,1.1214396190672553,1.151799930529712,0.,3.0359962488642234,6.071995449890962,9.107981918347962,12.143961906725531,15.179993052971177
15000,7.79875e6,8.01275e6,8.226749302712006e6,8.44074910648437e6,8.65475e6,8.86875e6,55.508111513219774,116.51841913722456,177.4259754102677,232.53139082342386,299.3033813480288,355.2378479614854,17536,16998,16851,17627,16730,17174,1.,1.0274402949190575,1.0548805004278898,1.082320770185526,1.1097611796762301,1.1372014745952876,0.,2.744029491905754,5.48805004278898,8.232077018552593,10.976117967623017,13.72014745952877
15000,7.79875e6,8.01275e6,8.226749302712006e6,8.44074910648437e6,8.65475e6,8.86875e6,55.508111513219774,116.51841913722456,177.4259754102677,232.53139082342386,299.3033813480288,355.2378479614854,17536,16998,16851,17627,16730,17174,1.,1.0274402949190575,1.0548805004278898,1.082320770185526,1.1097611796762301,1.1372014745952876,0.,2.744029491905754,5.48805004278898,8.232077018552593,10.976117967623017,13.72014745952877
16500,8.548750213201433e6,8.76275e6,8.976749331968844e6,9.19075e6,9.404746600493431e6,9.61875e6,55.424402214586735,112.61666304059327,173.66312693990767,233.4405068922788,293.23889306373894,342.0274582467973,17589,18196,17589,17490,17429,18526,1.,1.025032873982924,1.0500656947616123,1.0750986718277435,1.100131173088918,1.125164469672563,0.,2.5032873982924047,5.006569476161224,7.509867182774349,10.013117308891802,12.516446967256293
25000,1.279875e7,1.3012750406930953e7,1.3221749355210448e7,1.3440751726784343e7,1.3654751072495248e7,1.3863748780988554e7,53.995590852573514,110.07743710651994,170.614832457155,228.57732345163822,285.2789112087339,333.5200269948691,18532,19045,18223,18242,18415,19483,0.9999999999999999,1.0167204146444733,1.0330500521699735,1.0501612834678653,1.0668816151964253,1.0832111558541695,0.,1.6720414644473345,3.305005216997345,5.0161283467865445,6.688161519642528,8.321115585416962
