pipes,__fw_admit,__fw_dispatch,__fw_relinquish,__fw_unblock,__schedule,__fw_release,activate_task,E__fw_admit,E__fw_dispatch,E__fw_relinquish,E__fw_unblock,E__schedule,E__fw_release,Eactivate_task,C__fw_admit,C__fw_dispatch,C__fw_relinquish,C__fw_unblock,C__schedule,C__fw_release,Cactivate_task,EL__fw_admit,EL__fw_dispatch,EL__fw_relinquish,EL__fw_unblock,EL__schedule,EL__fw_release,ELactivate_task,ER__fw_admit,ER__fw_dispatch,ER__fw_relinquish,ER__fw_unblock,ER__schedule,ER__fw_release,ERactivate_task
20,1.2605537324285021e7,5.529967254800208e6,1.5079967717179986e7,1.5683293654266959e7,4.570552368984532e6,20500.,1.5399103760318741e7,20626.769588163123,94925.45514230523,147535.29451509565,75308.19240418449,62759.976603944786,0.,67925.1548508741,4126,48175,9773,34275,120959,4004,38401,1.2584910554696858e7,5.435041799657903e6,1.493243242266489e7,1.5607985461862775e7,4.507792392380587e6,20500.,1.5331178605467867e7,1.2626164093873184e7,5.624892709942513e6,1.5227503011695081e7,1.5758601846671144e7,4.633312345588476e6,20500.,1.5467028915169615e7
24,1.260068197237703e7,4.960463336545024e6,1.4681930140642645e7,1.5038598803894298e7,4.317376192796524e6,20500.,1.4834050003742795e7,21536.017795331776,83525.49031595234,123730.7375173904,61782.49414820224,56588.96370853763,0.,55936.803312441334,4127,49818,9741,35950,123135,4004,40077,1.2579145954581698e7,4.876937846229072e6,1.4558199403125254e7,1.4976816309746096e7,4.260787229087986e6,20500.,1.4778113200430354e7,1.2622217990172362e7,5.043988826860976e6,1.4805660878160035e7,1.51003812980425e7,4.373965156505061e6,20500.,1.4889986807055237e7
28,1.2612797624818226e7,3.905775225709372e6,1.393328917929953e7,1.4138217514468474e7,3.6302477063835147e6,20500.,1.401441005520078e7,22772.68054618314,72288.72842758987,95347.011982942,51236.77644249983,48436.66628567688,0.,45849.40522989072,4126,46520,9565,32830,119135,4004,36956,1.2590024944272043e7,3.8334864972817823e6,1.3837942167316588e7,1.4086980738025974e7,3.581811040097838e6,20500.,1.396856064997089e7,1.263557030536441e7,3.978063954136962e6,1.4028636191282472e7,1.4189454290910974e7,3.6786843726691916e6,20500.,1.406025946043067e7
32,1.2584103949600194e7,3.734152974013891e6,1.378640049075911e7,1.3917135726148736e7,3.556621597818539e6,20500.,1.3813491839742364e7,13240.072849670425,66209.03529279726,80594.46392766945,47909.71965893358,45917.11814870918,0.,42757.67833880521,4127,46217,9577,32514,118086,4004,36641,1.2570863876750523e7,3.667943938721094e6,1.370580602683144e7,1.3869226006489802e7,3.51070447966983e6,20500.,1.377073416140356e7,1.2597344022449864e7,3.8003620093066883e6,1.386699495468678e7,1.396504544580767e7,3.602538715967248e6,20500.,1.385624951808117e7
40,1.2575280227768354e7,3.121502138816062e6,1.3339379086359281e7,1.3260221055969028e7,3.121858247665755e6,20500.,1.3223800821355237e7,9480.821347383782,74444.6596159623,58129.90061781742,39174.47862652503,44645.99980833661,0.,34532.3682306353,4127,43482,9391,29963,116633,4004,34090,1.256579940642097e7,3.0470574792000996e6,1.3281249185741464e7,1.3221046577342503e7,3.0772122478574184e6,20500.,1.3189268453124601e7,1.2584761049115738e7,3.195946798432024e6,1.3397508986977099e7,1.3299395534595553e7,3.1665042474740916e6,20500.,1.3258333189585872e7
48,1.2567159961221522e7,3.0228793398477957e6,1.3247967510954365e7,1.309606994600886e7,3.134530722458823e6,20500.,1.3080320392503638e7,6074.013252492994,65455.455723043066,51095.56000688672,34859.19228995964,42075.04341798648,0.,30816.269523845986,4126,44414,9357,30931,116934,4004,35057,1.2561085947969029e7,2.9574238841247526e6,1.3196871950947478e7,1.30612107537189e7,3.0924556790408366e6,20500.,1.3049504122979792e7,1.2573233974474015e7,3.0883347955708387e6,1.3299063070961252e7,1.3130929138298819e7,3.1766057658768096e6,20500.,1.3111136662027484e7
56,1.2565695420402229e7,2.7709922834537006e6,1.3000679628835013e7,1.2870607629291685e7,2.9420504412217396e6,20500.,1.288026570734278e7,5292.001231292263,69748.24652922014,38682.259978352115,31223.843002311885,41537.77550588455,0.,27478.602128855884,4127,43478,9322,30029,116948,4004,34156,1.2560403419170937e7,2.7012440369244805e6,1.2961997368856661e7,1.2839383786289373e7,2.900512665715855e6,20500.,1.2852787105213923e7,1.2570987421633521e7,2.8407405299829207e6,1.3039361888813365e7,1.2901831472293997e7,2.983588216727624e6,20500.,1.2907744309471635e7
64,1.2567575236249091e7,2.6593424418736277e6,1.2928354503587876e7,1.271999825766951e7,2.9405083245908073e6,20500.,1.2748439238653002e7,4454.470969989896,67105.85775999725,31738.482877554372,27532.813240034506,40943.05087518692,0.,24281.82094233483,4127,44171,9337,30706,117243,4004,34833,1.2563120765279101e7,2.5922365841136305e6,1.2896616020710321e7,1.2692465444429476e7,2.8995652737156204e6,20500.,1.2724157417710667e7,1.2572029707219081e7,2.726448299633625e6,1.296009298646543e7,1.2747531070909545e7,2.9814513754659942e6,20500.,1.2772721059595337e7
80,1.2562090281143965e7,2.6668876790639735e6,1.282818834486429e7,1.2652655368220137e7,3.0170930869587376e6,20500.,1.2688647464919435e7,455.46485696733,75692.09380603023,25998.621079696342,25430.425060490146,44457.161550888326,0.,22481.77646703832,4126,44956,9395,31435,117734,4004,35561,1.2561634816286998e7,2.5911955852579433e6,1.2802189723784594e7,1.2627224943159647e7,2.9726359254078493e6,20500.,1.2666165688452397e7,1.2562545746000933e7,2.7425797728700037e6,1.2854186965943987e7,1.2678085793280628e7,3.061550248509626e6,20500.,1.2711129241386473e7
96,1.2567640901381148e7,2.6015811848473568e6,1.2783315254783917e7,1.2537660958440503e7,2.8665209461323586e6,20500.,1.2587835115070527e7,5336.29151211679,86924.15371947875,23419.601446526125,24523.134403020144,45358.69847796857,0.,21527.76268928498,4127,42976,9302,29548,115988,4004,33675,1.2562304609869031e7,2.514657031127878e6,1.2759895653337391e7,1.2513137824037483e7,2.82116224765439e6,20500.,1.2566307352381242e7,1.2572977192893265e7,2.6885053385668355e6,1.2806734856230443e7,1.2562184092843523e7,2.911879644610327e6,20500.,1.2609362877759812e7
